id;nome;siglaPartido;siglaUf;urlFoto
178959;HIRAN GONÇALVES;PP;RR;http://www.camara.leg.br/internet/deputado/bandep/178959.jpg
178849;HISSA ABRAHÃO;PDT;AM;http://www.camara.leg.br/internet/deputado/bandep/178849.jpg
141450;HUGO LEAL;PSD;RJ;http://www.camara.leg.br/internet/deputado/bandep/141450.jpg
160674;HUGO MOTTA;PRB;PB;http://www.camara.leg.br/internet/deputado/bandep/160674.jpg
141389;INDIO DA COSTA;PSD;RJ;http://www.camara.leg.br/internet/deputado/bandep/141389.jpg
67138;IRACEMA PORTELLA;PP;PI;http://www.camara.leg.br/internet/deputado/bandep/67138.jpg
81232;IRAJÁ ABREU;PSD;TO;http://www.camara.leg.br/internet/deputado/bandep/81232.jpg
178855;IRMÃO LAZARO;PSC;BA;http://www.camara.leg.br/internet/deputado/bandep/178855.jpg
73531;IVAN VALENTE;PSOL;SP;http://www.camara.leg.br/internet/deputado/bandep/73531.jpg
4931;IZALCI LUCAS;PSDB;DF;http://www.camara.leg.br/internet/deputado/bandep/4931.jpg
74665;JAIME MARTINS;PROS;MG;http://www.camara.leg.br/internet/deputado/bandep/74665.jpg
74847;JAIR BOLSONARO;PSL;RJ;http://www.camara.leg.br/internet/deputado/bandep/74847.jpg
74848;JANDIRA FEGHALI;PCdoB;RJ;http://www.camara.leg.br/internet/deputado/bandep/74848.jpg
73926;JANETE CAPIBERIBE;PSB;AP;http://www.camara.leg.br/internet/deputado/bandep/73926.jpg
131943;JARBAS VASCONCELOS;PMDB;PE;http://www.camara.leg.br/internet/deputado/bandep/131943.jpg
160672;JEAN WYLLYS;PSOL;RJ;http://www.camara.leg.br/internet/deputado/bandep/160672.jpg
74273;JEFFERSON CAMPOS;PSB;SP;http://www.camara.leg.br/internet/deputado/bandep/74273.jpg
160570;JERÔNIMO GOERGEN;PP;RS;http://www.camara.leg.br/internet/deputado/bandep/160570.jpg
178839;JÉSSICA SALES;PMDB;AC;http://www.camara.leg.br/internet/deputado/bandep/178839.jpg
178842;JHC;PSB;AL;http://www.camara.leg.br/internet/deputado/bandep/178842.jpg
160531;JHONATAN DE JESUS;PRB;RR;http://www.camara.leg.br/internet/deputado/bandep/160531.jpg
141503;JÔ MORAES;PCdoB;MG;http://www.camara.leg.br/internet/deputado/bandep/141503.jpg
160573;JOÃO ARRUDA;PMDB;PR;http://www.camara.leg.br/internet/deputado/bandep/160573.jpg
74366;JOÃO CAMPOS;PRB;GO;http://www.camara.leg.br/internet/deputado/bandep/74366.jpg
141458;JOÃO CARLOS BACELAR;PR;BA;http://www.camara.leg.br/internet/deputado/bandep/141458.jpg
178970;JOÃO DANIEL;PT;SE;http://www.camara.leg.br/internet/deputado/bandep/178970.jpg
178965;JOÃO DERLY;REDE;RS;http://www.camara.leg.br/internet/deputado/bandep/178965.jpg
178917;JOÃO FERNANDO COUTINHO;PROS;PE;http://www.camara.leg.br/internet/deputado/bandep/178917.jpg
178856;JOÃO GUALBERTO;PSDB;BA;http://www.camara.leg.br/internet/deputado/bandep/178856.jpg
112437;JOÃO MARCELO SOUZA;PMDB;MA;http://www.camara.leg.br/internet/deputado/bandep/112437.jpg
178967;JOÃO PAULO KLEINÜBING;DEM;SC;http://www.camara.leg.br/internet/deputado/bandep/178967.jpg
178988;JOÃO PAULO PAPA;PSDB;SP;http://www.camara.leg.br/internet/deputado/bandep/178988.jpg
160571;JOÃO RODRIGUES;PSD;SC;http://www.camara.leg.br/internet/deputado/bandep/160571.jpg
178910;JOAQUIM PASSARINHO;PSD;PA;http://www.camara.leg.br/internet/deputado/bandep/178910.jpg
178971;JONY MARCOS;PRB;SE;http://www.camara.leg.br/internet/deputado/bandep/178971.jpg
160572;JORGE CÔRTE REAL;PTB;PE;http://www.camara.leg.br/internet/deputado/bandep/160572.jpg
178857;JORGE SOLLA;PT;BA;http://www.camara.leg.br/internet/deputado/bandep/178857.jpg
73535;JORGE TADEU MUDALEN;DEM;SP;http://www.camara.leg.br/internet/deputado/bandep/73535.jpg
160509;JORGINHO MELLO;PR;SC;http://www.camara.leg.br/internet/deputado/bandep/160509.jpg
141464;JOSÉ AIRTON CIRILO;PT;CE;http://www.camara.leg.br/internet/deputado/bandep/141464.jpg
74553;JOSÉ CARLOS ALELUIA;DEM;BA;http://www.camara.leg.br/internet/deputado/bandep/74553.jpg
74140;JOSÉ CARLOS ARAÚJO;PR;BA;http://www.camara.leg.br/internet/deputado/bandep/74140.jpg
141470;JOSÉ GUIMARÃES;PT;CE;http://www.camara.leg.br/internet/deputado/bandep/141470.jpg
74275;JOSÉ MENTOR;PT;SP;http://www.camara.leg.br/internet/deputado/bandep/74275.jpg
160619;JOSÉ NUNES;PSD;BA;http://www.camara.leg.br/internet/deputado/bandep/160619.jpg
74395;JOSÉ OTÁVIO GERMANO;PP;RS;http://www.camara.leg.br/internet/deputado/bandep/74395.jpg
74079;JOSÉ PRIANTE;PMDB;PA;http://www.camara.leg.br/internet/deputado/bandep/74079.jpg
73714;JOSÉ REINALDO;PSDB;MA;http://www.camara.leg.br/internet/deputado/bandep/73714.jpg
74554;JOSÉ ROCHA;PR;BA;http://www.camara.leg.br/internet/deputado/bandep/74554.jpg
160607;JOSE STÉDILE;PSB;RS;http://www.camara.leg.br/internet/deputado/bandep/160607.jpg
114941;JOSI NUNES;PROS;TO;http://www.camara.leg.br/internet/deputado/bandep/114941.jpg
74141;JOSIAS GOMES;PT;BA;http://www.camara.leg.br/internet/deputado/bandep/74141.jpg
74351;JOSUÉ BENGTSON;PTB;PA;http://www.camara.leg.br/internet/deputado/bandep/74351.jpg
73666;JOVAIR ARANTES;PTB;GO;http://www.camara.leg.br/internet/deputado/bandep/73666.jpg
178851;JOZI ARAÚJO;PODE;AP;http://www.camara.leg.br/internet/deputado/bandep/178851.jpg
67312;JÚLIA MARINHO;PSC;PA;http://www.camara.leg.br/internet/deputado/bandep/67312.jpg
141474;JULIÃO AMIN;PDT;MA;http://www.camara.leg.br/internet/deputado/bandep/141474.jpg
74317;JÚLIO CESAR;PSD;PI;http://www.camara.leg.br/internet/deputado/bandep/74317.jpg
73586;JÚLIO DELGADO;PSB;MG;http://www.camara.leg.br/internet/deputado/bandep/73586.jpg
74253;JULIO LOPES;PP;RJ;http://www.camara.leg.br/internet/deputado/bandep/74253.jpg
178885;JUNIOR MARRECA;PEN;MA;http://www.camara.leg.br/internet/deputado/bandep/178885.jpg
160544;JUNJI ABE;PMDB;SP;http://www.camara.leg.br/internet/deputado/bandep/160544.jpg
178886;JUSCELINO FILHO;DEM;MA;http://www.camara.leg.br/internet/deputado/bandep/178886.jpg
74570;JUTAHY JUNIOR;PSDB;BA;http://www.camara.leg.br/internet/deputado/bandep/74570.jpg
178918;KAIO MANIÇOBA;SD;PE;http://www.camara.leg.br/internet/deputado/bandep/178918.jpg
160659;KEIKO OTA;PSB;SP;http://www.camara.leg.br/internet/deputado/bandep/160659.jpg
151208;LAERCIO OLIVEIRA;PP;SE;http://www.camara.leg.br/internet/deputado/bandep/151208.jpg
141478;LAERTE BESSA;PR;DF;http://www.camara.leg.br/internet/deputado/bandep/141478.jpg
178894;LAUDIVIO CARVALHO;PODE;MG;http://www.camara.leg.br/internet/deputado/bandep/178894.jpg
74856;LAURA CARNEIRO;DEM;RJ;http://www.camara.leg.br/internet/deputado/bandep/74856.jpg
141480;LÁZARO BOTELHO;PP;TO;http://www.camara.leg.br/internet/deputado/bandep/141480.jpg
178832;LEANDRE;PV;PR;http://www.camara.leg.br/internet/deputado/bandep/178832.jpg
141562;LELO COIMBRA;PMDB;ES;http://www.camara.leg.br/internet/deputado/bandep/141562.jpg
178825;LEO DE BRITO;PT;AC;http://www.camara.leg.br/internet/deputado/bandep/178825.jpg
74156;LEONARDO MONTEIRO;PT;MG;http://www.camara.leg.br/internet/deputado/bandep/74156.jpg
74254;LEONARDO PICCIANI;PMDB;RJ;http://www.camara.leg.br/internet/deputado/bandep/74254.jpg
141482;LEONARDO QUINTÃO;PMDB;MG;http://www.camara.leg.br/internet/deputado/bandep/141482.jpg
74299;LEÔNIDAS CRISTINO;PDT;CE;http://www.camara.leg.br/internet/deputado/bandep/74299.jpg
160663;LEOPOLDO MEYER;PSB;PR;http://www.camara.leg.br/internet/deputado/bandep/160663.jpg
74585;LINCOLN PORTELA;PR;MG;http://www.camara.leg.br/internet/deputado/bandep/74585.jpg
141483;LINDOMAR GARÇON;PRB;RO;http://www.camara.leg.br/internet/deputado/bandep/141483.jpg
74277;LOBBE NETO;PSDB;SP;http://www.camara.leg.br/internet/deputado/bandep/74277.jpg
81366;LUANA COSTA;PSC;MA;http://www.camara.leg.br/internet/deputado/bandep/81366.jpg
